Item_Description,Amount,Traffic_Source,Session_Duration
Google Hoodie,124,Referral,963
Google Stickers,5,Paid Search,"2,179"
Google Stickers,5,Paid Search,51
Google Stickers,5,Referral,"1,142"
Backpack,125,Organic Search,976
Google Stickers,5,Referral,"2,558"
Puffer Vest,115,Referral,"3,158"
Android T-Shirt,20,Paid Search,"2,773"
Google Stickers,5,Organic Search,332
Backpack,125,Organic Search,"1,352"
Google Stickers,5,Social Media,105
Google Water Bottle,10,Direct,"1,819"
Greeting Cards,6,Organic Search,"3,447"
Canvas Tote,18,Paid Search,828
Google Hoodie,124,Direct,"2,262"
Google Hoodie,124,Social Media,"1,528"
Backpack,125,Social Media,"1,427"
Google Stickers,5,Organic Search,242
Google Hoodie,124,Social Media,"1,325"
Google Hoodie,124,Social Media,"1,000"
Greeting Cards,6,Direct,"2,100"
Google Stickers,5,Organic Search,"3,351"
Backpack,125,Paid Search,"3,421"
Google Hoodie,124,Organic Search,67
Lanyard,6,Organic Search,"1,934"
Google Stickers,5,Social Media,106
Google Hoodie,124,Social Media,975
Google Hoodie,124,Paid Search,"2,610"
Google Water Bottle,10,Referral,562
Greeting Cards,6,Referral,"2,764"
Google Stickers,5,Organic Search,581
Google Water Bottle,10,Paid Search,944
Backpack,125,Organic Search,"2,262"
Backpack,125,Paid Search,512
Google Stickers,5,Social Media,"1,618"
Notebook,20,Referral,28
Google Stickers,5,Paid Search,"2,406"
Google Stickers,5,Direct,"2,852"
Notebook,20,Direct,"1,140"
Google Hoodie,124,Organic Search,"2,406"
Canvas Tote,18,Social Media,728
Backpack,125,Paid Search,"2,577"
Google Stickers,5,Direct,"2,611"
Backpack,125,Organic Search,"3,429"
Lanyard,6,Direct,"1,363"
Google Stickers,5,Social Media,937
Greeting Cards,6,Direct,"1,408"
Google Hoodie,124,Direct,"2,565"
Google Hoodie,124,Direct,"1,994"
Canvas Tote,18,Paid Search,"2,898"
Notebook,20,Paid Search,"2,151"
Google Stickers,5,Social Media,735
Google Stickers,5,Paid Search,"3,199"
Google Hoodie,124,Direct,"1,407"
Google Stickers,5,Organic Search,"1,902"
Greeting Cards,6,Social Media,844
Canvas Tote,18,Paid Search,622
Greeting Cards,6,Social Media,"2,926"
Google Hoodie,124,Direct,293
Google Stickers,5,Organic Search,211
Google Water Bottle,10,Paid Search,"3,493"
Lanyard,6,Referral,422
Google Stickers,5,Referral,"1,277"
Google Stickers,5,Direct,"3,273"
Lanyard,6,Social Media,"2,056"
Google Stickers,5,Paid Search,"2,194"
Google Stickers,5,Referral,"2,333"
Lanyard,6,Organic Search,896
Notebook,20,Social Media,227
Puffer Vest,115,Social Media,594
Google Stickers,5,Organic Search,41
Google Stickers,5,Organic Search,"1,323"
Google Stickers,5,Referral,453
Lanyard,6,Social Media,"2,397"
Google Stickers,5,Paid Search,897
YouTube Cap,15,Paid Search,"1,977"
Google Water Bottle,10,Referral,"2,824"
Canvas Tote,18,Social Media,407
Google Stickers,5,Direct,"3,599"
Google Stickers,5,Social Media,"1,934"
Google Stickers,5,Social Media,"2,140"
Google Stickers,5,Organic Search,459
Google Stickers,5,Organic Search,"3,435"
Google Stickers,5,Direct,"2,603"
Google Stickers,5,Referral,"2,313"
Puffer Vest,115,Organic Search,"2,904"
Notebook,20,Organic Search,228
Google Stickers,5,Organic Search,793
Android T-Shirt,20,Organic Search,"3,362"
Google Hoodie,124,Organic Search,"3,522"
Backpack,125,Referral,"2,840"
Notebook,20,Organic Search,116
Android T-Shirt,20,Social Media,117
Notebook,20,Direct,"1,878"
Google Hoodie,124,Referral,"1,438"
Canvas Tote,18,Referral,"2,120"
Google Stickers,5,Organic Search,"1,890"
Google Hoodie,124,Referral,"2,409"
Google Stickers,5,Social Media,319
Google Stickers,5,Paid Search,"2,687"
Puffer Vest,115,Referral,105
Lanyard,6,Referral,"2,356"
Google Stickers,5,Direct,"2,223"
YouTube Cap,15,Referral,"2,149"
Android T-Shirt,20,Direct,"1,188"
Canvas Tote,18,Organic Search,227
Backpack,125,Direct,"2,904"
YouTube Cap,15,Referral,"1,325"
Google Stickers,5,Social Media,"3,086"
Puffer Vest,115,Organic Search,"1,393"
Backpack,125,Social Media,"3,570"
Notebook,20,Direct,355
Google Stickers,5,Social Media,"1,711"
Google Stickers,5,Referral,698
Google Hoodie,124,Organic Search,"1,090"
Lanyard,6,Referral,"3,018"
Lanyard,6,Social Media,276
Google Stickers,5,Direct,"3,311"
Google Water Bottle,10,Organic Search,859
Google Stickers,5,Organic Search,665
Lanyard,6,Organic Search,534
Backpack,125,Organic Search,755
Google Stickers,5,Paid Search,886
Google Stickers,5,Organic Search,"3,235"
Android T-Shirt,20,Paid Search,800
Notebook,20,Referral,"1,923"
Google Water Bottle,10,Direct,"2,778"
YouTube Cap,15,Paid Search,119
Google Stickers,5,Referral,103
Google Water Bottle,10,Direct,"1,393"
Canvas Tote,18,Referral,800
Google Hoodie,124,Direct,282
Backpack,125,Paid Search,"1,107"
Google Stickers,5,Social Media,"2,586"
Lanyard,6,Direct,"1,878"
YouTube Cap,15,Paid Search,"3,443"
Google Stickers,5,Direct,"3,024"
Google Stickers,5,Social Media,"2,595"
Google Stickers,5,Referral,966
Google Water Bottle,10,Organic Search,"2,565"
Google Stickers,5,Organic Search,"1,030"
Google Stickers,5,Direct,"2,602"
Lanyard,6,Paid Search,"1,287"
Google Stickers,5,Organic Search,"3,278"
Google Hoodie,124,Direct,"1,990"
YouTube Cap,15,Social Media,"3,079"
Google Water Bottle,10,Organic Search,"1,267"
Google Stickers,5,Social Media,"3,396"
Notebook,20,Social Media,859
Puffer Vest,115,Paid Search,966
Puffer Vest,115,Paid Search,"3,279"
YouTube Cap,15,Social Media,"1,546"
Google Stickers,5,Paid Search,"2,781"
Android T-Shirt,20,Direct,"2,786"
Puffer Vest,115,Social Media,533
Google Hoodie,124,Direct,"1,880"
Google Stickers,5,Social Media,"1,030"
Notebook,20,Organic Search,"2,531"
YouTube Cap,15,Direct,211
Notebook,20,Paid Search,180
Notebook,20,Social Media,132
Google Water Bottle,10,Referral,"2,872"
Google Stickers,5,Referral,"3,269"
Google Stickers,5,Paid Search,"1,778"
Canvas Tote,18,Paid Search,"1,413"
Greeting Cards,6,Organic Search,"1,902"
Canvas Tote,18,Referral,"3,020"
Google Water Bottle,10,Organic Search,"1,639"
Google Hoodie,124,Organic Search,"3,396"
Google Stickers,5,Referral,953
Google Stickers,5,Referral,828
Google Hoodie,124,Social Media,"1,986"
Lanyard,6,Referral,"2,074"
Puffer Vest,115,Social Media,"1,480"
Google Hoodie,124,Organic Search,"2,686"
Google Stickers,5,Paid Search,"3,123"
Google Stickers,5,Paid Search,"1,554"
Lanyard,6,Social Media,69
Canvas Tote,18,Social Media,"2,722"
Google Water Bottle,10,Organic Search,"3,523"
Google Hoodie,124,Social Media,790
Backpack,125,Paid Search,"1,465"
Greeting Cards,6,Direct,"1,819"
Greeting Cards,6,Direct,"1,182"
Google Stickers,5,Paid Search,"2,593"
Google Stickers,5,Social Media,"3,527"
Greeting Cards,6,Paid Search,"2,701"
Canvas Tote,18,Referral,"2,109"
Puffer Vest,115,Direct,"2,971"
Google Stickers,5,Organic Search,"1,357"
Android T-Shirt,20,Direct,"2,947"
YouTube Cap,15,Organic Search,"2,973"
Google Stickers,5,Social Media,429
Greeting Cards,6,Referral,"1,399"
Notebook,20,Social Media,"3,490"
Puffer Vest,115,Organic Search,"1,598"
Notebook,20,Referral,497
Google Hoodie,124,Direct,476
Google Stickers,5,Paid Search,481
Google Stickers,5,Social Media,"3,565"
Google Stickers,5,Organic Search,"2,058"
YouTube Cap,15,Social Media,"2,891"
YouTube Cap,15,Paid Search,342
Google Water Bottle,10,Social Media,"1,502"
Google Hoodie,124,Social Media,"1,435"
Google Water Bottle,10,Direct,"2,673"
Google Stickers,5,Paid Search,"3,432"
Google Stickers,5,Social Media,696
Canvas Tote,18,Paid Search,"2,867"
Backpack,125,Direct,"2,939"
Google Hoodie,124,Referral,361
Lanyard,6,Paid Search,"2,543"
Google Stickers,5,Direct,"1,789"
Google Hoodie,124,Organic Search,"1,309"
Google Stickers,5,Paid Search,214
Google Stickers,5,Paid Search,"1,546"
Notebook,20,Referral,"2,691"
Canvas Tote,18,Direct,"2,762"
Google Stickers,5,Referral,"1,771"
Google Stickers,5,Organic Search,176
Google Hoodie,124,Organic Search,"1,559"
Google Water Bottle,10,Direct,"1,152"
Backpack,125,Paid Search,"2,282"
Google Stickers,5,Direct,"3,105"
Puffer Vest,115,Referral,192
Canvas Tote,18,Direct,"3,329"
Google Stickers,5,Direct,"1,965"
Backpack,125,Paid Search,"2,773"
Google Hoodie,124,Referral,647
YouTube Cap,15,Organic Search,"1,727"
Puffer Vest,115,Organic Search,"2,234"
Google Water Bottle,10,Paid Search,"3,517"
Notebook,20,Direct,"2,421"
Puffer Vest,115,Paid Search,989
Google Stickers,5,Direct,211
Canvas Tote,18,Social Media,134
Google Stickers,5,Paid Search,"2,899"
Android T-Shirt,20,Social Media,"3,117"
Backpack,125,Direct,676
Google Hoodie,124,Paid Search,926
Google Stickers,5,Referral,463
Notebook,20,Organic Search,"2,292"
Google Stickers,5,Social Media,"2,447"
Canvas Tote,18,Direct,292
Google Stickers,5,Social Media,"2,960"
Google Stickers,5,Direct,"1,087"
Google Stickers,5,Paid Search,"1,573"
Backpack,125,Organic Search,"2,958"
Puffer Vest,115,Direct,"2,309"
Google Stickers,5,Direct,342
Google Stickers,5,Referral,"2,347"
YouTube Cap,15,Organic Search,"1,971"
Google Stickers,5,Paid Search,45
YouTube Cap,15,Paid Search,"2,198"
Google Stickers,5,Referral,"2,610"
Backpack,125,Paid Search,"1,141"
Lanyard,6,Referral,"3,236"
Puffer Vest,115,Social Media,"1,916"
Google Stickers,5,Paid Search,"2,422"
Canvas Tote,18,Referral,"1,129"
Notebook,20,Referral,"2,581"
Notebook,20,Direct,783
Notebook,20,Referral,"3,258"
Google Stickers,5,Referral,"2,661"
Google Hoodie,124,Paid Search,"2,885"
Greeting Cards,6,Referral,349
Lanyard,6,Referral,"3,008"
Google Stickers,5,Social Media,"3,244"
Google Stickers,5,Social Media,"1,872"
Google Stickers,5,Direct,"3,408"
YouTube Cap,15,Organic Search,"2,406"
Lanyard,6,Referral,810
Google Hoodie,124,Direct,"3,306"
Google Hoodie,124,Paid Search,"2,728"
Greeting Cards,6,Organic Search,"3,115"
Greeting Cards,6,Social Media,920
Google Hoodie,124,Paid Search,"2,014"
Lanyard,6,Paid Search,"1,008"
Google Hoodie,124,Organic Search,"1,234"
YouTube Cap,15,Paid Search,80
Greeting Cards,6,Paid Search,"3,356"
Google Hoodie,124,Organic Search,"2,559"
Google Water Bottle,10,Social Media,"2,354"
Google Stickers,5,Referral,"1,203"
Google Hoodie,124,Paid Search,898
Lanyard,6,Referral,"1,279"
Google Water Bottle,10,Organic Search,"2,109"
Canvas Tote,18,Paid Search,"1,006"
Google Hoodie,124,Direct,916
Google Stickers,5,Organic Search,"2,773"
Google Hoodie,124,Direct,"2,518"
Google Hoodie,124,Paid Search,"1,363"
Google Stickers,5,Referral,"2,434"
Google Stickers,5,Social Media,"2,455"
Notebook,20,Paid Search,"2,776"
Google Water Bottle,10,Referral,"3,559"
Google Water Bottle,10,Referral,218
Google Hoodie,124,Referral,"1,965"
Google Hoodie,124,Direct,"2,479"
Google Stickers,5,Social Media,"1,781"
YouTube Cap,15,Direct,"2,945"
Google Water Bottle,10,Referral,"3,497"
Google Stickers,5,Direct,"1,183"
Google Stickers,5,Social Media,174
Google Hoodie,124,Social Media,"2,452"
Google Hoodie,124,Organic Search,"1,381"
Google Stickers,5,Organic Search,"3,534"
Google Hoodie,124,Paid Search,"2,177"
Google Stickers,5,Organic Search,810
Notebook,20,Direct,"2,596"
Canvas Tote,18,Referral,"2,272"
Lanyard,6,Social Media,"1,194"
Google Stickers,5,Referral,"2,367"
Google Stickers,5,Organic Search,"2,893"
Android T-Shirt,20,Social Media,"1,883"
Notebook,20,Direct,"3,275"
Notebook,20,Direct,"1,722"
Lanyard,6,Social Media,"2,730"
Google Stickers,5,Organic Search,445
Notebook,20,Referral,355
Canvas Tote,18,Paid Search,"2,058"
Google Stickers,5,Organic Search,99
Android T-Shirt,20,Social Media,"2,172"
Google Hoodie,124,Organic Search,"2,210"
Google Water Bottle,10,Direct,"3,114"
Notebook,20,Social Media,129
Google Water Bottle,10,Social Media,"2,003"
Google Stickers,5,Direct,"2,815"
Google Stickers,5,Referral,"3,545"
Google Stickers,5,Referral,"2,788"
Google Stickers,5,Paid Search,"2,438"
Google Stickers,5,Organic Search,698
Google Stickers,5,Paid Search,"2,479"
Notebook,20,Direct,"1,631"
Lanyard,6,Referral,"3,033"
Puffer Vest,115,Organic Search,"1,733"
Android T-Shirt,20,Referral,"1,624"
Google Stickers,5,Referral,719
Google Hoodie,124,Paid Search,"2,264"
Android T-Shirt,20,Paid Search,"2,697"
Google Hoodie,124,Direct,218
YouTube Cap,15,Social Media,"3,377"
Lanyard,6,Organic Search,318
Google Stickers,5,Organic Search,"3,126"
Google Stickers,5,Direct,"2,425"
Google Stickers,5,Organic Search,"1,438"
Google Stickers,5,Referral,"2,101"
YouTube Cap,15,Referral,"1,454"
Greeting Cards,6,Social Media,"2,889"
Notebook,20,Organic Search,"3,519"
Google Stickers,5,Paid Search,"2,853"
Google Stickers,5,Referral,"1,184"
Google Stickers,5,Organic Search,"2,781"
Google Stickers,5,Referral,460
Greeting Cards,6,Direct,"2,062"
Lanyard,6,Referral,"1,739"
Google Stickers,5,Social Media,"2,136"
Android T-Shirt,20,Direct,637
Android T-Shirt,20,Direct,"2,234"
Notebook,20,Organic Search,"3,408"
Google Stickers,5,Social Media,"1,623"
Notebook,20,Organic Search,"1,916"
Google Hoodie,124,Organic Search,81
Lanyard,6,Referral,"2,311"
Google Hoodie,124,Paid Search,"1,617"
Google Stickers,5,Social Media,"2,576"
Google Stickers,5,Direct,"2,750"
Google Stickers,5,Organic Search,"2,387"
Google Hoodie,124,Social Media,"2,758"
Google Stickers,5,Referral,"2,979"
YouTube Cap,15,Referral,"2,110"
Google Hoodie,124,Referral,"2,122"
Backpack,125,Paid Search,"1,130"
Google Water Bottle,10,Paid Search,"1,899"
Google Stickers,5,Direct,"3,149"
Google Stickers,5,Direct,"1,367"
Google Stickers,5,Social Media,"1,521"
Google Stickers,5,Referral,"1,017"
Android T-Shirt,20,Referral,132
Google Hoodie,124,Referral,"2,351"
Notebook,20,Social Media,"1,076"
Greeting Cards,6,Organic Search,639
Google Stickers,5,Social Media,"1,413"
Google Stickers,5,Social Media,"1,104"
Lanyard,6,Social Media,"3,258"
Google Stickers,5,Referral,"1,227"
Google Stickers,5,Referral,570
Android T-Shirt,20,Paid Search,"1,508"
Google Stickers,5,Direct,931
Google Stickers,5,Paid Search,"1,088"
Google Stickers,5,Direct,"1,560"
Google Hoodie,124,Paid Search,"3,581"
YouTube Cap,15,Referral,"2,945"
Google Hoodie,124,Organic Search,"3,221"
Backpack,125,Direct,"2,559"
Android T-Shirt,20,Direct,"3,445"
Google Stickers,5,Organic Search,"2,717"
Google Stickers,5,Organic Search,"3,590"
Android T-Shirt,20,Paid Search,"1,279"
Google Stickers,5,Referral,"1,178"
YouTube Cap,15,Social Media,"2,287"
Google Stickers,5,Organic Search,"3,348"
Android T-Shirt,20,Direct,"1,333"
Google Stickers,5,Paid Search,604
Google Stickers,5,Direct,"1,457"
Google Stickers,5,Referral,"2,364"
Google Stickers,5,Direct,"2,292"
Google Hoodie,124,Paid Search,"1,395"
Google Stickers,5,Organic Search,"1,923"
Google Stickers,5,Social Media,"2,776"
Puffer Vest,115,Paid Search,461
Canvas Tote,18,Social Media,"1,423"
Google Stickers,5,Referral,865
Canvas Tote,18,Social Media,"2,223"
YouTube Cap,15,Direct,"1,461"
Google Hoodie,124,Paid Search,178
Google Stickers,5,Referral,674
Greeting Cards,6,Paid Search,"1,071"
Google Water Bottle,10,Direct,"2,321"
Greeting Cards,6,Organic Search,912
Google Stickers,5,Direct,"2,085"
Google Stickers,5,Referral,268
Google Stickers,5,Organic Search,"3,204"
Google Stickers,5,Paid Search,180
Backpack,125,Direct,"3,378"
Backpack,125,Paid Search,"1,112"
Google Hoodie,124,Paid Search,523
Backpack,125,Organic Search,"2,006"
Notebook,20,Social Media,"1,351"
Canvas Tote,18,Direct,"3,570"
Google Stickers,5,Organic Search,"2,040"
Google Hoodie,124,Referral,346
Google Hoodie,124,Social Media,"2,851"
Google Stickers,5,Referral,"1,811"
Backpack,125,Referral,"2,165"
Greeting Cards,6,Paid Search,804
Google Stickers,5,Referral,"2,933"
Google Hoodie,124,Social Media,"3,230"
Android T-Shirt,20,Social Media,"3,110"
Google Stickers,5,Paid Search,"1,169"
Google Hoodie,124,Organic Search,"3,345"
Notebook,20,Organic Search,"2,384"
Notebook,20,Referral,"2,910"
Android T-Shirt,20,Referral,"3,316"
Google Stickers,5,Paid Search,794
Backpack,125,Paid Search,"1,728"
YouTube Cap,15,Organic Search,"1,755"
Google Hoodie,124,Direct,"3,314"
Google Stickers,5,Direct,229
Google Hoodie,124,Paid Search,"1,461"
Lanyard,6,Direct,"1,941"
Google Stickers,5,Referral,"3,560"
Google Stickers,5,Referral,"3,114"
Lanyard,6,Referral,383
Notebook,20,Organic Search,"1,411"
Google Stickers,5,Paid Search,"2,124"
Backpack,125,Organic Search,"2,938"
Google Stickers,5,Organic Search,"1,292"
Greeting Cards,6,Direct,895
Google Hoodie,124,Organic Search,"3,169"
Google Stickers,5,Referral,562
Android T-Shirt,20,Paid Search,"3,204"
Google Hoodie,124,Organic Search,143
Google Water Bottle,10,Social Media,"3,402"
Notebook,20,Organic Search,"3,101"
Android T-Shirt,20,Organic Search,"2,839"
Backpack,125,Organic Search,"2,628"
Google Stickers,5,Referral,"2,110"
Google Hoodie,124,Organic Search,"1,939"
Google Stickers,5,Direct,"1,676"
Google Hoodie,124,Paid Search,"3,056"
Google Hoodie,124,Social Media,"1,210"
Google Stickers,5,Direct,"2,559"
Puffer Vest,115,Organic Search,"3,402"
Google Water Bottle,10,Paid Search,"1,433"
Backpack,125,Referral,534
Google Stickers,5,Organic Search,"1,420"
Greeting Cards,6,Organic Search,355
Lanyard,6,Organic Search,333
Puffer Vest,115,Paid Search,873
Google Hoodie,124,Paid Search,"1,956"
Google Stickers,5,Organic Search,"2,839"
Greeting Cards,6,Referral,"3,322"
Google Stickers,5,Direct,"3,085"
Google Stickers,5,Referral,"1,573"
YouTube Cap,15,Paid Search,"2,292"
Google Stickers,5,Social Media,538
Google Stickers,5,Paid Search,"1,322"
Android T-Shirt,20,Direct,"2,332"
Google Stickers,5,Direct,882
Puffer Vest,115,Direct,585
YouTube Cap,15,Direct,"1,016"
Google Hoodie,124,Social Media,"2,787"
Google Stickers,5,Paid Search,"1,727"
YouTube Cap,15,Direct,"2,543"
Canvas Tote,18,Referral,"1,555"
Canvas Tote,18,Organic Search,453
Google Stickers,5,Referral,"3,264"
Canvas Tote,18,Referral,"2,799"
YouTube Cap,15,Organic Search,"3,593"
Google Stickers,5,Social Media,584
Android T-Shirt,20,Organic Search,"2,973"
Backpack,125,Organic Search,"3,465"
Google Hoodie,124,Direct,"2,810"
Notebook,20,Social Media,"2,429"
Backpack,125,Direct,"3,555"
Google Hoodie,124,Organic Search,"2,144"
Google Water Bottle,10,Social Media,630
Android T-Shirt,20,Paid Search,"3,244"
Lanyard,6,Direct,"2,334"
Google Stickers,5,Referral,"2,144"
Google Stickers,5,Paid Search,"2,945"
Puffer Vest,115,Direct,"1,873"
Google Stickers,5,Organic Search,"3,485"
Google Hoodie,124,Paid Search,"1,021"
Google Stickers,5,Direct,300
Google Stickers,5,Referral,"1,632"
Android T-Shirt,20,Paid Search,"2,781"
Lanyard,6,Paid Search,936
Puffer Vest,115,Social Media,"2,745"
Android T-Shirt,20,Referral,"3,202"
Google Stickers,5,Organic Search,830
Puffer Vest,115,Organic Search,781
Google Hoodie,124,Organic Search,"1,075"
Google Stickers,5,Direct,851
Google Hoodie,124,Social Media,"2,513"
Android T-Shirt,20,Organic Search,"1,658"
Google Hoodie,124,Social Media,397
Android T-Shirt,20,Organic Search,201
Google Stickers,5,Social Media,"2,486"
Google Stickers,5,Direct,"2,034"
Greeting Cards,6,Organic Search,"1,473"
Backpack,125,Referral,"2,021"
Google Stickers,5,Paid Search,"3,445"
Google Stickers,5,Referral,"2,688"
Google Stickers,5,Referral,"1,647"
Google Hoodie,124,Direct,633
YouTube Cap,15,Direct,209
Google Stickers,5,Referral,"1,977"
Google Stickers,5,Organic Search,"1,808"
YouTube Cap,15,Social Media,"1,365"
Google Hoodie,124,Referral,"3,559"
Google Water Bottle,10,Referral,"1,139"
Google Stickers,5,Paid Search,353
Google Hoodie,124,Direct,"1,752"
Greeting Cards,6,Referral,"1,599"
Google Stickers,5,Organic Search,"3,004"
Greeting Cards,6,Organic Search,"3,421"
Canvas Tote,18,Social Media,"2,556"
Google Stickers,5,Organic Search,"2,895"
Google Hoodie,124,Social Media,"2,479"
Canvas Tote,18,Referral,"1,819"
Google Water Bottle,10,Organic Search,64
Puffer Vest,115,Referral,"1,006"
Google Stickers,5,Direct,"3,228"
Notebook,20,Referral,773
Greeting Cards,6,Social Media,"1,493"
Backpack,125,Paid Search,"3,509"
Puffer Vest,115,Direct,895
Canvas Tote,18,Social Media,"2,297"
Greeting Cards,6,Paid Search,"2,159"
Google Hoodie,124,Direct,916
YouTube Cap,15,Referral,"1,940"
Google Stickers,5,Paid Search,"2,126"
YouTube Cap,15,Referral,"1,487"
Google Hoodie,124,Direct,"2,237"
Canvas Tote,18,Referral,"1,508"
Google Hoodie,124,Referral,396
Google Stickers,5,Referral,"2,318"
Google Stickers,5,Organic Search,"2,891"
Google Stickers,5,Paid Search,"1,092"
Canvas Tote,18,Paid Search,52
Google Hoodie,124,Referral,73
Google Stickers,5,Social Media,893
Greeting Cards,6,Social Media,"1,027"
Google Stickers,5,Referral,"2,175"
Lanyard,6,Paid Search,"2,126"
Canvas Tote,18,Organic Search,687
Google Stickers,5,Direct,"2,079"
Greeting Cards,6,Referral,"2,372"
Google Stickers,5,Organic Search,"1,573"
Android T-Shirt,20,Paid Search,"1,267"
Backpack,125,Referral,"2,745"
Lanyard,6,Paid Search,"3,105"
Google Stickers,5,Direct,"1,183"
Google Stickers,5,Referral,"1,184"
Android T-Shirt,20,Direct,672
Google Stickers,5,Organic Search,"3,570"
Google Hoodie,124,Paid Search,"2,984"
Google Stickers,5,Organic Search,318
Google Hoodie,124,Organic Search,"1,272"
Google Hoodie,124,Paid Search,"3,413"
Google Hoodie,124,Direct,"2,656"
Android T-Shirt,20,Referral,"3,334"
Greeting Cards,6,Social Media,"2,583"
Google Hoodie,124,Direct,"3,428"
YouTube Cap,15,Paid Search,142
Google Stickers,5,Organic Search,73
Google Stickers,5,Social Media,"2,795"
Puffer Vest,115,Social Media,"1,089"
Greeting Cards,6,Referral,"3,227"
Backpack,125,Organic Search,"2,280"
Google Stickers,5,Direct,"3,442"
Backpack,125,Social Media,536
Google Water Bottle,10,Organic Search,"2,483"
Google Stickers,5,Referral,"3,024"
Notebook,20,Referral,"2,720"
Canvas Tote,18,Direct,"3,431"
Google Hoodie,124,Direct,"2,565"
Google Stickers,5,Organic Search,"3,153"
Google Stickers,5,Paid Search,"1,752"
Google Stickers,5,Paid Search,"3,501"
Backpack,125,Organic Search,754
Android T-Shirt,20,Organic Search,"1,438"
Google Stickers,5,Organic Search,"1,168"
Backpack,125,Paid Search,"2,331"
Puffer Vest,115,Social Media,"3,527"
Google Stickers,5,Direct,"3,432"
Google Stickers,5,Social Media,"2,924"
Google Water Bottle,10,Direct,"1,017"
Canvas Tote,18,Referral,"1,246"
Google Stickers,5,Paid Search,346
Google Water Bottle,10,Organic Search,"3,519"
Lanyard,6,Paid Search,"2,688"
Google Water Bottle,10,Social Media,"1,902"
Notebook,20,Paid Search,533
Lanyard,6,Paid Search,"1,090"
Android T-Shirt,20,Organic Search,385
Google Hoodie,124,Direct,"2,830"
Notebook,20,Paid Search,"3,502"
Google Stickers,5,Direct,838
Google Stickers,5,Paid Search,"3,012"
Greeting Cards,6,Social Media,647
Google Water Bottle,10,Direct,11
YouTube Cap,15,Organic Search,"1,086"
Android T-Shirt,20,Organic Search,"3,209"
YouTube Cap,15,Paid Search,"1,808"
Lanyard,6,Direct,"3,440"
Google Water Bottle,10,Organic Search,"3,221"
Google Stickers,5,Social Media,719
Google Hoodie,124,Direct,"2,274"
Google Hoodie,124,Organic Search,"2,188"
Google Stickers,5,Organic Search,"1,584"
Puffer Vest,115,Paid Search,"3,529"
Canvas Tote,18,Referral,"2,833"
Google Stickers,5,Direct,"3,204"
Google Stickers,5,Referral,135
Google Water Bottle,10,Direct,"3,117"
Lanyard,6,Paid Search,317
Google Stickers,5,Organic Search,"1,168"
Google Stickers,5,Referral,"1,334"
Google Stickers,5,Paid Search,"1,144"
Lanyard,6,Paid Search,"1,179"
Google Stickers,5,Direct,"1,916"
Google Stickers,5,Direct,798
Google Stickers,5,Direct,696
Google Water Bottle,10,Referral,932
Google Hoodie,124,Social Media,641
Google Stickers,5,Paid Search,268
Google Stickers,5,Organic Search,442
Google Water Bottle,10,Direct,573
YouTube Cap,15,Referral,"3,370"
Google Stickers,5,Organic Search,"2,891"
Canvas Tote,18,Paid Search,"1,216"
Google Stickers,5,Social Media,"1,731"
Google Stickers,5,Referral,778
Puffer Vest,115,Paid Search,475
Greeting Cards,6,Social Media,"2,747"
Google Water Bottle,10,Paid Search,132
Puffer Vest,115,Organic Search,"3,172"
Lanyard,6,Referral,"2,852"
Notebook,20,Social Media,"3,032"
Google Water Bottle,10,Referral,"1,874"
Google Hoodie,124,Organic Search,172
Google Stickers,5,Organic Search,"1,340"
Google Hoodie,124,Social Media,"2,465"
Canvas Tote,18,Organic Search,241
YouTube Cap,15,Social Media,"1,566"
Google Stickers,5,Social Media,"2,300"
Google Stickers,5,Referral,184
Google Stickers,5,Paid Search,"1,550"
Google Stickers,5,Referral,"1,757"
Greeting Cards,6,Direct,"1,760"
Lanyard,6,Organic Search,478
Android T-Shirt,20,Direct,477
Google Stickers,5,Social Media,"1,737"
YouTube Cap,15,Paid Search,"2,520"
Notebook,20,Organic Search,775
Notebook,20,Social Media,"2,280"
Google Stickers,5,Paid Search,"2,595"
Notebook,20,Social Media,"2,140"
Google Water Bottle,10,Organic Search,187
Google Water Bottle,10,Social Media,"2,901"
Puffer Vest,115,Social Media,"2,767"
Google Water Bottle,10,Organic Search,"2,728"
Google Stickers,5,Direct,105
Google Stickers,5,Social Media,"1,401"
Google Stickers,5,Direct,"3,004"
Greeting Cards,6,Organic Search,539
Lanyard,6,Social Media,971
Google Stickers,5,Referral,"3,527"
Greeting Cards,6,Social Media,"3,594"
Lanyard,6,Organic Search,"3,266"
Google Hoodie,124,Referral,"1,194"
Google Stickers,5,Social Media,613
Google Stickers,5,Direct,429
Greeting Cards,6,Organic Search,"1,258"
Google Hoodie,124,Social Media,"2,074"
Lanyard,6,Paid Search,676
Canvas Tote,18,Direct,471
Google Water Bottle,10,Referral,"3,136"
Google Stickers,5,Referral,"3,258"
Google Stickers,5,Direct,"1,209"
Puffer Vest,115,Direct,"3,209"
Lanyard,6,Direct,480
Google Stickers,5,Referral,238
Google Stickers,5,Organic Search,"2,850"
YouTube Cap,15,Direct,"2,175"
Google Stickers,5,Paid Search,"1,336"
Google Hoodie,124,Paid Search,"3,152"
Lanyard,6,Organic Search,"1,499"
Google Stickers,5,Organic Search,"1,177"
Google Stickers,5,Referral,921
Google Stickers,5,Referral,810
Google Stickers,5,Direct,229
Google Stickers,5,Referral,"3,237"
Lanyard,6,Referral,507
